exp_num,network,num_workers,num_envs_per_worker,num_steps,total_steps,total_time,sps,setup_time,experience_collection_time,learning_time
73,medium,2,4,64,8192,6.629413604736328,1235,0.07813572883605957,4.622105836868286,2.007237434387207
74,medium,2,4,128,10240,7.501195907592773,1365,0.08490610122680664,5.183213710784912,2.3179352283477783
75,medium,2,4,256,20480,12.983981847763062,1577,0.0823674201965332,8.37455940246582,4.609373092651367
76,medium,2,8,32,8192,5.499212265014648,1489,0.0816349983215332,4.228750944137573,1.2703845500946045
77,medium,2,8,64,10240,5.281261920928955,1938,0.0766899585723877,4.021509170532227,1.2597036361694336
78,medium,2,8,128,20480,8.606807470321655,2379,0.09522032737731934,6.18016505241394,2.426588296890259
79,medium,2,8,256,40960,13.358307361602783,3066,0.07607054710388184,8.94391417503357,4.414341688156128
80,large,1,1,32,8192,32.50360417366028,252,0.10488438606262207,12.908233880996704,19.594311714172363
81,large,1,1,64,8192,29.250072717666626,280,0.06602191925048828,12.33466100692749,16.914868354797363
82,large,1,1,128,8192,27.362992763519287,299,0.0652458667755127,11.996602773666382,15.366105079650879
83,large,1,1,256,8192,26.890696048736572,304,0.06493115425109863,12.060112714767456,14.83042573928833
84,large,1,2,32,8192,19.184402465820312,427,0.078399658203125,8.855761766433716,10.328039169311523
85,large,1,2,64,8192,18.53823161125183,441,0.06920599937438965,9.264374732971191,9.273531675338745
86,large,1,2,128,8192,18.292752504348755,447,0.08347821235656738,9.842770338058472,8.449820280075073
87,large,1,2,256,8192,16.49697256088257,496,0.08716988563537598,8.713356733322144,7.783536911010742
88,large,1,3,32,8160,13.239918947219849,616,0.06643819808959961,6.5278544425964355,6.71169114112854
89,large,1,3,64,8064,12.321691274642944,654,0.06525683403015137,6.479419231414795,5.842080354690552
90,large,1,3,128,8064,12.417509078979492,649,0.07571029663085938,6.8690760135650635,5.5483269691467285
91,large,1,3,256,7680,11.04465627670288,695,0.06566214561462402,6.1517438888549805,4.892861843109131
92,large,1,4,32,8192,11.926724195480347,686,0.07144999504089355,6.4382874965667725,5.488112211227417
93,large,1,4,64,8192,10.150723695755005,807,0.07562994956970215,5.728161811828613,4.42240834236145
94,large,1,4,128,8192,10.366039514541626,790,0.06526541709899902,6.167735576629639,4.1982221603393555
95,large,1,4,256,10240,11.095180749893188,922,0.06873750686645508,6.344672441482544,4.750451326370239
96,large,1,8,32,8192,6.983029842376709,1173,0.07782435417175293,4.373937606811523,2.608937978744507
97,large,1,8,64,8192,6.39521861076355,1280,0.07607150077819824,4.155224800109863,2.239921808242798
98,large,1,8,128,10240,7.337646722793579,1395,0.07681703567504883,4.738544225692749,2.5990488529205322
99,large,1,8,256,20480,12.45799469947815,1643,0.06596851348876953,7.317485809326172,5.140457630157471
100,large,2,1,32,8192,25.65180015563965,319,0.10906815528869629,14.971464395523071,10.679702043533325
101,large,2,1,64,8192,22.139925479888916,370,0.11594843864440918,13.403990507125854,8.735630989074707
102,large,2,1,128,8192,19.62291669845581,417,0.0977170467376709,11.672950983047485,7.949817419052124
103,large,2,1,256,8192,20.674153804779053,396,0.10750627517700195,13.056136131286621,7.617939233779907
104,large,2,2,32,8192,13.442528247833252,609,0.11111712455749512,8.247240781784058,5.194995164871216
105,large,2,2,64,8192,12.736889123916626,643,0.10400247573852539,8.290620803833008,4.446117162704468
106,large,2,2,128,8192,12.54573130607605,652,0.1093747615814209,8.452813863754272,4.0928356647491455
107,large,2,2,256,10240,14.213250875473022,720,0.13309001922607422,9.431273221969604,4.781923532485962
108,large,2,3,32,8064,9.47641110420227,850,0.09908103942871094,6.161985874176025,3.3142406940460205
